class_val,class,relevel,colour
0,No Disturbance,0,#00000000
1,Fire,1,#944046
2,Harvesting,3,#8eb63b
3,Non Stand-Replacing,2,#00000000
4,Road,4,#00000000
5,Untyped Disturbance,5,#00000000
6,Untyped Disturbance,5,#00000000
7,Untyped Disturbance,5,#00000000
8,Untyped Disturbance,5,#00000000
9,Untyped Disturbance,5,#00000000
10,Ag,6,#00000000
1000,Untyped Disturbance,5,#00000000
1001,Fire,1,#944046
1002,Harvesting,3,#8eb63b
1003,Non Stand-Replacing,2,#00000000
1004,Road,4,#00000000
1005,Ag,6,#00000000
