class_val,ppa_gpe,proportion_of_landscape,total_area,park,var,year
0,PPA,99.72196043071575,290547.72,Gar,disturbance,1985
0,GPE,98.9695685439287,297101.34,Gar,disturbance,1985
1000,PPA,0.09053815993468649,263.79,Gar,disturbance,1985
1000,GPE,0.35772790613449995,1073.88,Gar,disturbance,1985
1001,PPA,0.0,0.0,Gar,disturbance,1985
1001,GPE,0.10655086979567656,319.86,Gar,disturbance,1985
1002,PPA,0.00018533911962064788,0.54,Gar,disturbance,1985
1002,GPE,0.24931824232437994,748.44,Gar,disturbance,1985
1003,PPA,0.18317682989174033,533.7,Gar,disturbance,1985
1003,GPE,0.1508021595588782,452.7,Gar,disturbance,1985
1004,PPA,0.0024711882616086384,7.2,Gar,disturbance,1985
1004,GPE,0.07818927080110424,234.72,Gar,disturbance,1985
1005,PPA,0.001668052076585831,4.86,Gar,disturbance,1985
1005,GPE,0.08784300745676206,263.7,Gar,disturbance,1985
0,PPA,99.95023644638185,291212.82,Gar,disturbance,1986
0,GPE,98.84281078436311,296720.82,Gar,disturbance,1986
1000,PPA,0.02693595205153416,78.48,Gar,disturbance,1986
1000,GPE,0.3084698647517491,926.01,Gar,disturbance,1986
1001,PPA,0.005467504028809113,15.93,Gar,disturbance,1986
1001,GPE,0.08535462192129746,256.23,Gar,disturbance,1986
1002,PPA,0.010378990698756281,30.24,Gar,disturbance,1986
1002,GPE,0.5791042771449884,1738.44,Gar,disturbance,1986
1003,PPA,0.006981106839044404,20.34,Gar,disturbance,1986
1003,GPE,0.12426937403012925,373.05,Gar,disturbance,1986
1004,PPA,0.0,0.0,Gar,disturbance,1986
1004,GPE,0.010373269822539137,31.14,Gar,disturbance,1986
1005,PPA,0.0,0.0,Gar,disturbance,1986
1005,GPE,0.049617807966191536,148.95,Gar,disturbance,1986
0,PPA,99.94007368465599,291183.21,Gar,disturbance,1987
0,GPE,99.30259247800028,298101.06,Gar,disturbance,1987
1000,PPA,0.027337520144045564,79.65,Gar,disturbance,1987
1000,GPE,0.2634990418216661,791.01,Gar,disturbance,1987
1001,PPA,0.00018533911962064788,0.54,Gar,disturbance,1987
1001,GPE,0.0061460124671113385,18.45,Gar,disturbance,1987
1002,PPA,0.01454912089022086,42.39,Gar,disturbance,1987
1002,GPE,0.2714438872059808,814.86,Gar,disturbance,1987
1003,PPA,0.017236538124720254,50.22,Gar,disturbance,1987
1003,GPE,0.07408193564015667,222.39,Gar,disturbance,1987
1004,PPA,0.0006177970654021596,1.8,Gar,disturbance,1987
1004,GPE,0.02122622842299916,63.72,Gar,disturbance,1987
1005,PPA,0.0,0.0,Gar,disturbance,1987
1005,GPE,0.06101041644181255,183.15,Gar,disturbance,1987
0,PPA,99.88975411367899,291036.6,Gar,disturbance,1988
0,GPE,99.0893108551172,297460.8,Gar,disturbance,1988
1000,PPA,0.049979782591034715,145.62,Gar,disturbance,1988
1000,GPE,0.22767228622070002,683.46,Gar,disturbance,1988
1001,PPA,0.0,0.0,Gar,disturbance,1988
1001,GPE,0.011872297253541901,35.64,Gar,disturbance,1988
1002,PPA,0.007846022730607428,22.86,Gar,disturbance,1988
1002,GPE,0.4886229814096614,1466.82,Gar,disturbance,1988
1003,PPA,0.04543897416032884,132.39,Gar,disturbance,1988
1003,GPE,0.06769607878408489,203.22,Gar,disturbance,1988
1004,PPA,0.006981106839044404,20.34,Gar,disturbance,1988
1004,GPE,0.026502804980128893,79.56,Gar,disturbance,1988
1005,PPA,0.0,0.0,Gar,disturbance,1988
1005,GPE,0.08832269623468293,265.14,Gar,disturbance,1988
0,PPA,99.94442915396708,291195.9,Gar,disturbance,1989
0,GPE,99.00572508556449,297209.88,Gar,disturbance,1989
1000,PPA,0.0139313238248187,40.59,Gar,disturbance,1989
1000,GPE,0.27300287573422366,819.54,Gar,disturbance,1989
1001,PPA,0.0,0.0,Gar,disturbance,1989
1001,GPE,0.0002698249375804978,0.81,Gar,disturbance,1989
1002,PPA,0.011892593508991573,34.65,Gar,disturbance,1989
1002,GPE,0.5060116996092935,1519.02,Gar,disturbance,1989
1003,PPA,0.029746928699113988,86.67,Gar,disturbance,1989
1003,GPE,0.05696304237810509,171.0,Gar,disturbance,1989
1004,PPA,0.0,0.0,Gar,disturbance,1989
1004,GPE,0.04182286532497716,125.55,Gar,disturbance,1989
1005,PPA,0.0,0.0,Gar,disturbance,1989
1005,GPE,0.11620460645133437,348.84,Gar,disturbance,1989
0,PPA,99.96410599050013,291253.23,Gar,disturbance,1990
0,GPE,99.23831418175888,297908.1,Gar,disturbance,1990
1000,PPA,0.01346797602576708,39.24,Gar,disturbance,1990
1000,GPE,0.24368189918380953,731.52,Gar,disturbance,1990
1001,PPA,0.015506706341594206,45.18,Gar,disturbance,1990
1001,GPE,0.0,0.0,Gar,disturbance,1990
1002,PPA,0.0001544492663505399,0.45,Gar,disturbance,1990
1002,GPE,0.2912010687465972,874.17,Gar,disturbance,1990
1003,PPA,0.006764877866153648,19.71,Gar,disturbance,1990
1003,GPE,0.05033734113307286,151.11,Gar,disturbance,1990
1004,PPA,0.0,0.0,Gar,disturbance,1990
1004,GPE,0.04398146482562114,132.03,Gar,disturbance,1990
1005,PPA,0.0,0.0,Gar,disturbance,1990
1005,GPE,0.1324840443520244,397.71,Gar,disturbance,1990
0,PPA,99.92197223063971,291130.47,Gar,disturbance,1991
0,GPE,99.2848439932172,298047.78,Gar,disturbance,1991
1000,PPA,0.029932267818734634,87.21,Gar,disturbance,1991
1000,GPE,0.22770226676932007,683.55,Gar,disturbance,1991
1001,PPA,0.02647260425248254,77.13,Gar,disturbance,1991
1001,GPE,0.0,0.0,Gar,disturbance,1991
1002,PPA,0.013375306465956756,38.97,Gar,disturbance,1991
1002,GPE,0.3395896742193665,1019.43,Gar,disturbance,1991
1003,PPA,0.0071664459586650514,20.88,Gar,disturbance,1991
1003,GPE,0.04173292367911699,125.28,Gar,disturbance,1991
1004,PPA,0.0010811448644537794,3.15,Gar,disturbance,1991
1004,GPE,0.036726172059567755,110.25,Gar,disturbance,1991
1005,PPA,0.0,0.0,Gar,disturbance,1991
1005,GPE,0.06940497005542803,208.35,Gar,disturbance,1991
0,PPA,99.91928481340521,291122.64,Gar,disturbance,1992
0,GPE,99.39736099218827,298385.55,Gar,disturbance,1992
1000,PPA,0.05103003760221839,148.68,Gar,disturbance,1992
1000,GPE,0.18731846777810557,562.32,Gar,disturbance,1992
1001,PPA,0.0,0.0,Gar,disturbance,1992
1001,GPE,0.0004796887779208849,1.44,Gar,disturbance,1992
1002,PPA,0.0,0.0,Gar,disturbance,1992
1002,GPE,0.26044102586242046,781.83,Gar,disturbance,1992
1003,PPA,0.011830813802451356,34.47,Gar,disturbance,1992
1003,GPE,0.04811878053518877,144.45,Gar,disturbance,1992
1004,PPA,0.017854335190122413,52.02,Gar,disturbance,1992
1004,GPE,0.03852500497677107,115.65,Gar,disturbance,1992
1005,PPA,0.0,0.0,Gar,disturbance,1992
1005,GPE,0.067756039881325,203.4,Gar,disturbance,1992
0,PPA,99.97862422153709,291295.53,Gar,disturbance,1993
0,GPE,99.41271103308173,298431.63,Gar,disturbance,1993
1000,PPA,0.009328735687572611,27.18,Gar,disturbance,1993
1000,GPE,0.1702595356132941,511.11,Gar,disturbance,1993
1002,PPA,0.003490553419522202,10.17,Gar,disturbance,1993
1002,GPE,0.25528437149977096,766.35,Gar,disturbance,1993
1003,PPA,0.00855648935581991,24.93,Gar,disturbance,1993
1003,GPE,0.034897358593744376,104.76,Gar,disturbance,1993
1004,PPA,0.0,0.0,Gar,disturbance,1993
1004,GPE,0.038584966074011184,115.83,Gar,disturbance,1993
1005,PPA,0.0,0.0,Gar,disturbance,1993
1005,GPE,0.08826273513744283,264.96,Gar,disturbance,1993
0,PPA,99.97402163339984,291282.12,Gar,disturbance,1994
0,GPE,99.49051055675078,298665.18,Gar,disturbance,1994
1000,PPA,0.009112506714681855,26.55,Gar,disturbance,1994
1000,GPE,0.16684175307060778,500.85,Gar,disturbance,1994
1002,PPA,0.004386359164355333,12.78,Gar,disturbance,1994
1002,GPE,0.2253937645255758,676.62,Gar,disturbance,1994
1003,PPA,0.007413564784825915,21.6,Gar,disturbance,1994
1003,GPE,0.03630644437888698,108.99,Gar,disturbance,1994
1004,PPA,0.005065935936297709,14.76,Gar,disturbance,1994
1004,GPE,0.007165351120193219,21.51,Gar,disturbance,1994
1005,PPA,0.0,0.0,Gar,disturbance,1994
1005,GPE,0.07378213015395611,221.49,Gar,disturbance,1994
0,PPA,99.94415114528765,291195.09,Gar,disturbance,1995
0,GPE,99.5839599267995,298945.71,Gar,disturbance,1995
1000,PPA,0.006548648893262892,19.08,Gar,disturbance,1995
1000,GPE,0.12522875158597102,375.93,Gar,disturbance,1995
1002,PPA,0.018564801815334896,54.09,Gar,disturbance,1995
1002,GPE,0.1926550054324754,578.34,Gar,disturbance,1995
1003,PPA,0.030735404003757443,89.55,Gar,disturbance,1995
1003,GPE,0.03576679450372598,107.37,Gar,disturbance,1995
1004,PPA,0.0,0.0,Gar,disturbance,1995
1004,GPE,0.015380021442088374,46.17,Gar,disturbance,1995
1005,PPA,0.0,0.0,Gar,disturbance,1995
1005,GPE,0.047009500236246726,141.12,Gar,disturbance,1995
0,PPA,99.97476298987833,291284.28,Gar,disturbance,1996
0,GPE,99.53692044601462,298804.5,Gar,disturbance,1996
1000,PPA,0.004540808430705873,13.23,Gar,disturbance,1996
1000,GPE,0.13173453063652302,395.46,Gar,disturbance,1996
1002,PPA,0.014610900596761076,42.57,Gar,disturbance,1996
1002,GPE,0.21469070866821607,644.49,Gar,disturbance,1996
1003,PPA,0.005714622854969977,16.65,Gar,disturbance,1996
1003,GPE,0.03010047081453553,90.36,Gar,disturbance,1996
1004,PPA,0.00037067823924129576,1.08,Gar,disturbance,1996
1004,GPE,0.03061014014107647,91.89,Gar,disturbance,1996
1005,PPA,0.0,0.0,Gar,disturbance,1996
1005,GPE,0.055943703725023206,167.94,Gar,disturbance,1996
0,PPA,99.93695380947571,291174.12,Gar,disturbance,1997
0,GPE,99.36576149394273,298290.69,Gar,disturbance,1997
1000,PPA,0.016155393260266476,47.07,Gar,disturbance,1997
1000,GPE,0.13251402490064446,397.8,Gar,disturbance,1997
1001,PPA,0.003088985327010798,9.0,Gar,disturbance,1997
1001,GPE,0.0010493192017019357,3.15,Gar,disturbance,1997
1002,PPA,0.010626109524917146,30.96,Gar,disturbance,1997
1002,GPE,0.29635772310924674,889.65,Gar,disturbance,1997
1003,PPA,0.03317570241209597,96.66,Gar,disturbance,1997
1003,GPE,0.0576226144477463,172.98,Gar,disturbance,1997
1004,PPA,0.0,0.0,Gar,disturbance,1997
1004,GPE,0.007734981543974269,23.22,Gar,disturbance,1997
1005,PPA,0.0,0.0,Gar,disturbance,1997
1005,GPE,0.13895984285395635,417.15,Gar,disturbance,1997
0,PPA,99.9649709063917,291255.75,Gar,disturbance,1998
0,GPE,99.52067098866256,298755.72,Gar,disturbance,1998
1000,PPA,0.008185811116578616,23.85,Gar,disturbance,1998
1000,GPE,0.10328298999609054,310.05,Gar,disturbance,1998
1002,PPA,0.0029963157672004744,8.73,Gar,disturbance,1998
1002,GPE,0.2132516423344534,640.17,Gar,disturbance,1998
1003,PPA,0.023846966724523362,69.48,Gar,disturbance,1998
1003,GPE,0.05348529873817867,160.56,Gar,disturbance,1998
1004,PPA,0.0,0.0,Gar,disturbance,1998
1004,GPE,0.0044671017443882405,13.41,Gar,disturbance,1998
1005,PPA,0.0,0.0,Gar,disturbance,1998
1005,GPE,0.10484197852433341,314.73,Gar,disturbance,1998
0,PPA,99.97037663071397,291271.5,Gar,disturbance,1999
0,GPE,99.66097995620441,299176.92,Gar,disturbance,1999
1000,PPA,0.009174286421222071,26.73,Gar,disturbance,1999
1000,GPE,0.10406248426021197,312.39,Gar,disturbance,1999
1002,PPA,0.012510390574393732,36.45,Gar,disturbance,1999
1002,GPE,0.14834375457203366,445.32,Gar,disturbance,1999
1003,PPA,0.00719733581193516,20.97,Gar,disturbance,1999
1003,GPE,0.020626617450598052,61.92,Gar,disturbance,1999
1004,PPA,0.0007413564784825915,2.16,Gar,disturbance,1999
1004,GPE,0.002788191021665144,8.37,Gar,disturbance,1999
1005,PPA,0.0,0.0,Gar,disturbance,1999
1005,GPE,0.06319899649107659,189.72,Gar,disturbance,1999
0,PPA,99.98786028766484,291322.44,Gar,disturbance,2000
0,GPE,99.51248629888929,298731.15,Gar,disturbance,2000
1000,PPA,0.007938692290417751,23.13,Gar,disturbance,2000
1000,GPE,0.08601419399093868,258.21,Gar,disturbance,2000
1001,PPA,0.0003088985327010798,0.9,Gar,disturbance,2000
1001,GPE,0.0,0.0,Gar,disturbance,2000
1002,PPA,6.177970654021596e-05,0.18,Gar,disturbance,2000
1002,GPE,0.29497861787272417,885.51,Gar,disturbance,2000
1003,PPA,0.0038303418054933896,11.16,Gar,disturbance,2000
1003,GPE,0.01079299750321991,32.4,Gar,disturbance,2000
1004,PPA,0.0,0.0,Gar,disturbance,2000
1004,GPE,0.004527062841628351,13.59,Gar,disturbance,2000
1005,PPA,0.0,0.0,Gar,disturbance,2000
1005,GPE,0.09120082890220825,273.78,Gar,disturbance,2000
0,PPA,99.95524060261161,291227.4,Gar,disturbance,2001
0,GPE,99.48478427196434,298647.99,Gar,disturbance,2001
1000,PPA,0.04238087868658815,123.48,Gar,disturbance,2001
1000,GPE,0.10945898301182193,328.59,Gar,disturbance,2001
1002,PPA,6.177970654021596e-05,0.18,Gar,disturbance,2001
1002,GPE,0.27854927722893386,836.19,Gar,disturbance,2001
1003,PPA,0.0023167389952580986,6.75,Gar,disturbance,2001
1003,GPE,0.012561849871803175,37.71,Gar,disturbance,2001
1004,PPA,0.0,0.0,Gar,disturbance,2001
1004,GPE,0.0035676852857865816,10.71,Gar,disturbance,2001
1005,PPA,0.0,0.0,Gar,disturbance,2001
1005,GPE,0.11107793263730492,333.45,Gar,disturbance,2001
0,PPA,99.97775930564552,291293.01,Gar,disturbance,2002
0,GPE,99.53817962905667,298808.28,Gar,disturbance,2002
1000,PPA,0.00994653275297477,28.98,Gar,disturbance,2002
1000,GPE,0.09440874760455417,283.41,Gar,disturbance,2002
1002,PPA,0.004695257697056413,13.68,Gar,disturbance,2002
