class_val,ppa_gpe,proportion_of_landscape,total_area,park,var,year
1,PPA,65.24216524216524,20.61,AdamsLakeMarineParkPoplarPointSite,fragstats,2015
2,PPA,1.9943019943019944,0.63,AdamsLakeMarineParkPoplarPointSite,fragstats,2015
3,PPA,32.763532763532766,10.35,AdamsLakeMarineParkPoplarPointSite,fragstats,2015
1,PPA,67.14876033057851,29.25,AdamsLakeMarineParkRefugeBaySite,fragstats,2015
2,PPA,9.710743801652892,4.23,AdamsLakeMarineParkRefugeBaySite,fragstats,2015
3,PPA,23.140495867768596,10.08,AdamsLakeMarineParkRefugeBaySite,fragstats,2015
1,PPA,70.64831261101243,143.19,AdamsLakeMarineParkSpillmanBeachSite,fragstats,2015
2,PPA,1.2433392539964476,2.52,AdamsLakeMarineParkSpillmanBeachSite,fragstats,2015
3,PPA,28.108348134991118,56.97,AdamsLakeMarineParkSpillmanBeachSite,fragstats,2015
1,PPA,60.59245960502693,60.75,AdamsLakeParkBushCreekSite,fragstats,2015
2,PPA,1.6157989228007181,1.62,AdamsLakeParkBushCreekSite,fragstats,2015
3,PPA,37.791741472172355,37.89,AdamsLakeParkBushCreekSite,fragstats,2015
1,PPA,42.74561927435162,4573.17,AKK,fragstats,2015
2,PPA,39.255339732319364,4199.76,AKK,fragstats,2015
3,PPA,17.999040993329015,1925.64,AKK,fragstats,2015
1,PPA,92.14659685863874,47.52,AlexandraBridgePark,fragstats,2015
2,PPA,7.504363001745201,3.87,AlexandraBridgePark,fragstats,2015
3,PPA,0.34904013961605584,0.18,AlexandraBridgePark,fragstats,2015
1,PPA,95.75534759358288,257.85,AlezaLakeEcologicalReserve,fragstats,2015
2,PPA,1.3368983957219251,3.6,AlezaLakeEcologicalReserve,fragstats,2015
3,PPA,2.907754010695187,7.83,AlezaLakeEcologicalReserve,fragstats,2015
1,PPA,92.98973575016379,383.22,AliceLakePark,fragstats,2015
2,PPA,2.3149159205066607,9.54,AliceLakePark,fragstats,2015
3,PPA,4.695348329329548,19.35,AliceLakePark,fragstats,2015
1,PPA,95.1417004048583,84.6,AllisonHarbourMarinePark,fragstats,2015
2,PPA,1.1133603238866396,0.99,AllisonHarbourMarinePark,fragstats,2015
3,PPA,3.7449392712550607,3.33,AllisonHarbourMarinePark,fragstats,2015
1,PPA,34.8936170212766,7.38,AllisonLakePark,fragstats,2015
2,PPA,24.680851063829788,5.22,AllisonLakePark,fragstats,2015
