class_val,ppa_gpe,proportion_of_landscape,total_area,park,var,year
0,GPE,99.29510824926032,420627.96,RM,disturbance,1985
0,PPA,99.40993357853908,479029.5,RM,disturbance,1985
1000,GPE,0.18985209128367292,804.24,RM,disturbance,1985
1000,PPA,0.2706502235745291,1304.19,RM,disturbance,1985
1001,GPE,0.03403570392081961,144.18,RM,disturbance,1985
1001,PPA,0.0009151791425817353,4.41,RM,disturbance,1985
1002,GPE,0.1496126260988837,633.78,RM,disturbance,1985
1002,PPA,0.018901250863116656,91.08,RM,disturbance,1985
1003,GPE,0.3009674043335397,1274.94,RM,disturbance,1985
1003,PPA,0.29239039749218504,1408.95,RM,disturbance,1985
1004,GPE,0.006033795201943052,25.56,RM,disturbance,1985
1004,PPA,0.007209370388501017,34.74,RM,disturbance,1985
1005,GPE,0.024390129900812057,103.32,RM,disturbance,1985
1005,PPA,0.0,0.0,RM,disturbance,1985
0,GPE,99.29510824926032,420627.96,RM,disturbance,1985
0,PPA,99.40993357853908,479029.5,RM,disturbance,1985
1000,GPE,0.18985209128367292,804.24,RM,disturbance,1985
1000,PPA,0.2706502235745291,1304.19,RM,disturbance,1985
1001,GPE,0.03403570392081961,144.18,RM,disturbance,1985
1001,PPA,0.0009151791425817353,4.41,RM,disturbance,1985
1002,GPE,0.1496126260988837,633.78,RM,disturbance,1985
1002,PPA,0.018901250863116656,91.08,RM,disturbance,1985
1003,GPE,0.3009674043335397,1274.94,RM,disturbance,1985
1003,PPA,0.29239039749218504,1408.95,RM,disturbance,1985
1004,GPE,0.006033795201943052,25.56,RM,disturbance,1985
1004,PPA,0.007209370388501017,34.74,RM,disturbance,1985
1005,GPE,0.024390129900812057,103.32,RM,disturbance,1985
1005,PPA,0.0,0.0,RM,disturbance,1985
0,GPE,99.47040699648298,421370.55,RM,disturbance,1986
0,PPA,99.91548600775138,481465.62,RM,disturbance,1986
1000,GPE,0.18175745757965778,769.95,RM,disturbance,1986
1000,PPA,0.028202459291804496,135.9,RM,disturbance,1986
1001,GPE,0.02349780807517259,99.54,RM,disturbance,1986
1001,PPA,0.0,0.0,RM,disturbance,1986
1002,GPE,0.2213807957896007,937.8,RM,disturbance,1986
1002,PPA,0.012252194235379966,59.04,RM,disturbance,1986
1003,GPE,0.08904097074416666,377.19,RM,disturbance,1986
1003,PPA,0.04405933872143497,212.31,RM,disturbance,1986
1004,GPE,0.0015721860737457247,6.66,RM,disturbance,1986
1004,PPA,0.0,0.0,RM,disturbance,1986
1005,GPE,0.012343785254679272,52.29,RM,disturbance,1986
1005,PPA,0.0,0.0,RM,disturbance,1986
0,GPE,99.29510824926032,420627.96,RM,disturbance,1985
0,PPA,99.40993357853908,479029.5,RM,disturbance,1985
1000,GPE,0.18985209128367292,804.24,RM,disturbance,1985
1000,PPA,0.2706502235745291,1304.19,RM,disturbance,1985
1001,GPE,0.03403570392081961,144.18,RM,disturbance,1985
1001,PPA,0.0009151791425817353,4.41,RM,disturbance,1985
1002,GPE,0.1496126260988837,633.78,RM,disturbance,1985
1002,PPA,0.018901250863116656,91.08,RM,disturbance,1985
1003,GPE,0.3009674043335397,1274.94,RM,disturbance,1985
1003,PPA,0.29239039749218504,1408.95,RM,disturbance,1985
1004,GPE,0.006033795201943052,25.56,RM,disturbance,1985
1004,PPA,0.007209370388501017,34.74,RM,disturbance,1985
1005,GPE,0.024390129900812057,103.32,RM,disturbance,1985
1005,PPA,0.0,0.0,RM,disturbance,1985
0,GPE,99.47040699648298,421370.55,RM,disturbance,1986
0,PPA,99.91548600775138,481465.62,RM,disturbance,1986
1000,GPE,0.18175745757965778,769.95,RM,disturbance,1986
1000,PPA,0.028202459291804496,135.9,RM,disturbance,1986
1001,GPE,0.02349780807517259,99.54,RM,disturbance,1986
1001,PPA,0.0,0.0,RM,disturbance,1986
1002,GPE,0.2213807957896007,937.8,RM,disturbance,1986
1002,PPA,0.012252194235379966,59.04,RM,disturbance,1986
1003,GPE,0.08904097074416666,377.19,RM,disturbance,1986
1003,PPA,0.04405933872143497,212.31,RM,disturbance,1986
1004,GPE,0.0015721860737457247,6.66,RM,disturbance,1986
1004,PPA,0.0,0.0,RM,disturbance,1986
1005,GPE,0.012343785254679272,52.29,RM,disturbance,1986
1005,PPA,0.0,0.0,RM,disturbance,1986
0,GPE,99.43522402164348,421221.51,RM,disturbance,1987
0,PPA,99.89152325591603,481350.15,RM,disturbance,1987
1000,GPE,0.20612634172271652,873.18,RM,disturbance,1987
1000,PPA,0.016603964443982912,80.01,RM,disturbance,1987
1001,GPE,0.08360205675931659,354.15,RM,disturbance,1987
1001,PPA,0.0,0.0,RM,disturbance,1987
1002,GPE,0.11211386366427284,474.93,RM,disturbance,1987
1002,PPA,0.010328450323422441,49.77,RM,disturbance,1987
1003,GPE,0.1477642451743448,625.95,RM,disturbance,1987
1003,PPA,0.08141358943905681,392.31,RM,disturbance,1987
1004,GPE,0.0,0.0,RM,disturbance,1987
1004,PPA,0.00013073987751167646,0.63,RM,disturbance,1987
1005,GPE,0.015169471035870912,64.26,RM,disturbance,1987
1005,PPA,0.0,0.0,RM,disturbance,1987
0,GPE,99.46018778700363,421327.26,RM,disturbance,1988
0,PPA,99.73428053752019,480592.44,RM,disturbance,1988
1000,GPE,0.09596708777174917,406.53,RM,disturbance,1988
1000,PPA,0.15100455852598632,727.65,RM,disturbance,1988
1001,GPE,0.0,0.0,RM,disturbance,1988
1001,PPA,0.0014194615272696302,6.84,RM,disturbance,1988
1002,GPE,0.25805097367183205,1093.14,RM,disturbance,1988
1002,PPA,0.025867818621953132,124.65,RM,disturbance,1988
1003,GPE,0.13718385781319115,581.13,RM,disturbance,1988
1003,PPA,0.08509298313474258,410.04,RM,disturbance,1988
1004,GPE,0.00737227794040225,31.23,RM,disturbance,1988
1004,PPA,0.0023346406698513656,11.25,RM,disturbance,1988
1005,GPE,0.041238015799195296,174.69,RM,disturbance,1988
1005,PPA,0.0,0.0,RM,disturbance,1988
0,GPE,99.69378489350139,422316.81,RM,disturbance,1989
0,PPA,99.8820539533591,481304.52,RM,disturbance,1989
1000,GPE,0.07096083089609083,300.6,RM,disturbance,1989
1000,PPA,0.053678058281222595,258.66,RM,disturbance,1989
1001,GPE,0.0,0.0,RM,disturbance,1989
1001,PPA,0.00018677125358810924,0.9,RM,disturbance,1989
1002,GPE,0.12467010649648531,528.12,RM,disturbance,1989
1002,PPA,0.01755649783728227,84.6,RM,disturbance,1989
1003,GPE,0.06889999239401873,291.87,RM,disturbance,1989
1003,PPA,0.04652471926879801,224.19,RM,disturbance,1989
1004,GPE,0.009921768870800722,42.03,RM,disturbance,1989
1004,PPA,0.0,0.0,RM,disturbance,1989
1005,GPE,0.031762407841214306,134.55,RM,disturbance,1989
1005,PPA,0.0,0.0,RM,disturbance,1989
0,GPE,99.7239538695111,422444.61,RM,disturbance,1990
0,PPA,99.78844420106076,480853.44,RM,disturbance,1990
1000,GPE,0.1067174411949294,452.07,RM,disturbance,1990
1000,PPA,0.04235972031378318,204.12,RM,disturbance,1990
1001,GPE,0.024007706261252284,101.7,RM,disturbance,1990
1001,PPA,1.8677125358810925e-05,0.09,RM,disturbance,1990
1002,GPE,0.053496818022861284,226.62,RM,disturbance,1990
1002,PPA,0.039109900501350076,188.46,RM,disturbance,1990
1003,GPE,0.06904871269829196,292.5,RM,disturbance,1990
1003,PPA,0.12961924999014782,624.6,RM,disturbance,1990
1004,GPE,0.0015934318314990454,6.75,RM,disturbance,1990
1004,PPA,0.00044825100861146217,2.16,RM,disturbance,1990
1005,GPE,0.021182020480060643,89.73,RM,disturbance,1990
