class_val,ppa_gpe,proportion_of_landscape,total_area,park,var,year
1,PPA,41.73465295939985,201107.97,RM,fragstats,2015
2,PPA,29.171148398539223,140567.85,RM,fragstats,2015
3,PPA,29.094198642060924,140197.05,RM,fragstats,2015
1,PPA,41.73465295939985,201107.97,RM,fragstats,2015
2,PPA,29.171148398539223,140567.85,RM,fragstats,2015
3,PPA,29.094198642060924,140197.05,RM,fragstats,2015
1,PPA,41.73465295939985,201107.97,RM,fragstats,2015
2,PPA,29.171148398539223,140567.85,RM,fragstats,2015
3,PPA,29.094198642060924,140197.05,RM,fragstats,2015
1,PPA,48.14022245019588,734096.52,Spats,fragstats,2015
2,PPA,46.544552423062136,709763.94,Spats,fragstats,2015
3,PPA,5.315225126741983,81052.56,Spats,fragstats,2015
1,PPA,53.87136918646608,1099475.82,Tweeds,fragstats,2015
2,PPA,36.21662181868421,739155.15,Tweeds,fragstats,2015
3,PPA,9.91200899484971,202296.96,Tweeds,fragstats,2015
