class_val,ppa_gpe,proportion_of_landscape,total_area,park,var,year
20,GPE,0.2949123633738433,1249.29,RM,HMM,2015
20,PPA,0.861968012434483,4153.59,RM,HMM,2015
31,GPE,1.7795234236603805,7538.31,RM,HMM,2015
31,PPA,5.58283557237825,26902.17,RM,HMM,2015
32,GPE,10.27704043195175,43534.98,RM,HMM,2015
32,PPA,22.64203626985682,109105.83,RM,HMM,2015
33,GPE,10.926544492228514,46286.37,RM,HMM,2015
33,PPA,13.813545884000483,66563.73,RM,HMM,2015
40,GPE,0.0043766260971840444,18.54,RM,HMM,2015
40,PPA,0.00011206275215286554,0.54,RM,HMM,2015
50,GPE,9.780123403859335,41429.97,RM,HMM,2015
50,PPA,7.407366594429772,35694.09,RM,HMM,2015
80,GPE,0.060869095963263536,257.85,RM,HMM,2015
80,PPA,0.011150243839210122,53.73,RM,HMM,2015
81,GPE,0.0518608946758556,219.69,RM,HMM,2015
81,PPA,0.0015315242794224958,7.38,RM,HMM,2015
100,GPE,9.505097069742598,40264.92,RM,HMM,2015
100,PPA,7.946481817911849,38291.94,RM,HMM,2015
210,GPE,54.98691048864818,232932.24,RM,HMM,2015
210,PPA,41.26158005118653,198828.36,RM,HMM,2015
220,GPE,2.330277201899711,9871.38,RM,HMM,2015
220,PPA,0.4712051956774408,2270.61,RM,HMM,2015
230,GPE,0.0024645078993851904,10.44,RM,HMM,2015
230,PPA,0.00018677125358810924,0.9,RM,HMM,2015
20,GPE,1.1122278464685034,17600.67,Spats,HMM,2015
20,PPA,1.1461519293736504,17477.82,Spats,HMM,2015
31,GPE,1.8783429310519173,29724.21,Spats,HMM,2015
31,PPA,2.0777552282949228,31683.96,Spats,HMM,2015
32,GPE,1.2484446622811423,19756.26,Spats,HMM,2015
32,PPA,2.0911232038664083,31887.81,Spats,HMM,2015
33,GPE,10.822079374632244,171256.14,Spats,HMM,2015
33,PPA,15.977711305789756,243646.2,Spats,HMM,2015
40,GPE,0.027907641233878316,441.63,Spats,HMM,2015
40,PPA,0.006480369614786291,98.82,Spats,HMM,2015
50,GPE,20.1021407157073,318110.31,Spats,HMM,2015
50,PPA,19.13818992771142,291840.75,Spats,HMM,2015
80,GPE,0.2435534599958437,3854.16,Spats,HMM,2015
80,PPA,0.06403053729582557,976.41,Spats,HMM,2015
81,GPE,0.14098278348208879,2231.01,Spats,HMM,2015
81,PPA,0.05699538193988271,869.13,Spats,HMM,2015
100,GPE,8.926720005314225,141262.65,Spats,HMM,2015
100,PPA,11.361852625535324,173258.37,Spats,HMM,2015
210,GPE,52.44753482881588,829966.41,Spats,HMM,2015
210,PPA,46.55772563342662,709964.82,Spats,HMM,2015
220,GPE,2.34878033882504,37168.74,Spats,HMM,2015
220,PPA,1.1485245237134902,17514.0,Spats,HMM,2015
230,GPE,0.7012854121919367,11097.63,Spats,HMM,2015
230,PPA,0.3734593334379164,5694.93,Spats,HMM,2015
0,GPE,0.0233869036784562,366.57,Tweeds,HMM,2015
0,PPA,0.02187240389228247,446.4,Tweeds,HMM,2015
20,GPE,7.447657950599831,116735.76,Tweeds,HMM,2015
20,PPA,3.7193802330883874,75909.87,Tweeds,HMM,2015
31,GPE,13.739303491728455,215352.0,Tweeds,HMM,2015
31,PPA,5.277167234415769,107703.18,Tweeds,HMM,2015
32,GPE,1.7857419700466188,27990.0,Tweeds,HMM,2015
32,PPA,0.8977078382184716,18321.57,Tweeds,HMM,2015
33,GPE,12.686605729418176,198851.85,Tweeds,HMM,2015
33,PPA,16.990567128943155,346765.23,Tweeds,HMM,2015
40,GPE,0.048565291262554024,761.22,Tweeds,HMM,2015
40,PPA,0.07773081923573852,1586.43,Tweeds,HMM,2015
50,GPE,14.010925755050176,219609.45,Tweeds,HMM,2015
50,PPA,12.168742773783295,248355.27,Tweeds,HMM,2015
80,GPE,0.37365645884496373,5856.75,Tweeds,HMM,2015
80,PPA,0.43105392751423616,8797.5,Tweeds,HMM,2015
81,GPE,0.1574323901438527,2467.62,Tweeds,HMM,2015
81,PPA,1.4616895364845146,29832.03,Tweeds,HMM,2015
100,GPE,6.628633999263884,103898.25,Tweeds,HMM,2015
100,PPA,6.531399665837294,133301.16,Tweeds,HMM,2015
210,GPE,40.54611549444095,635526.18,Tweeds,HMM,2015
210,PPA,49.2152591591022,1004447.97,Tweeds,HMM,2015
220,GPE,2.0620324270070793,32320.62,Tweeds,HMM,2015
220,PPA,1.6556439599510993,33790.5,Tweeds,HMM,2015
230,GPE,0.4899421385150091,7679.43,Tweeds,HMM,2015
230,PPA,1.5517853195335516,31670.82,Tweeds,HMM,2015
