class_val,ppa_gpe,proportion_of_landscape,total_area,park,var,year
1,PPA,100.0,31.59,AdamsLakeMarineParkPoplarPointSite,nightlights,2015
1,PPA,100.0,43.56,AdamsLakeMarineParkRefugeBaySite,nightlights,2015
1,PPA,100.0,202.68,AdamsLakeMarineParkSpillmanBeachSite,nightlights,2015
1,PPA,100.0,100.26,AdamsLakeParkBushCreekSite,nightlights,2015
1,PPA,100.0,10436.94,AKK,nightlights,2015
1,PPA,100.0,51.57,AlexandraBridgePark,nightlights,2015
1,PPA,100.0,269.28,AlezaLakeEcologicalReserve,nightlights,2015
1,PPA,100.0,412.11,AliceLakePark,nightlights,2015
1,PPA,100.0,82.35,AllisonHarbourMarinePark,nightlights,2015
1,PPA,100.0,21.15,AllisonLakePark,nightlights,2015
1,PPA,100.0,292.77,AmbroseLakeEcologicalReserve,nightlights,2015
1,PPA,100.0,444.15,AnarchistProtectedArea,nightlights,2015
1,PPA,100.0,11189.97,AncientForestChunTOhWhudujutPark,nightlights,2015
1,PPA,100.0,689.58,AncientForestChunTOhWhudujutProtectedArea,nightlights,2015
1,PPA,100.0,11.97,AndersonBayPark,nightlights,2015
1,PPA,100.0,95.04,AndersonFlatsPark,nightlights,2015
1,PPA,100.0,6857.19,AnsteyHunakwaPark,nightlights,2015
1,PPA,100.0,5.22,ApodacaPark,nightlights,2015
1,PPA,100.0,21.6,ArbutusGrovePark,nightlights,2015
1,PPA,100.0,13896.81,ArcticPacificLakesPark,nightlights,2015
1,PPA,100.0,17.1,ArrowLakesParkBurtonSite,nightlights,2015
1,PPA,100.0,35.19,ArrowLakesParkEagleSite,nightlights,2015
1,PPA,100.0,18.27,ArrowLakesParkFauquierSite,nightlights,2015
1,PPA,100.0,23.67,ArrowLakesParkShelterBaySite,nightlights,2015
1,PPA,100.0,6154.02,ArrowstonePark,nightlights,2015
1,PPA,100.0,280.98,ArtlishCavesPark,nightlights,2015
1,GPE,99.98153925187312,576630.72,Atlin,nightlights,2015
1,PPA,100.0,570114.54,Atlin,nightlights,2015
2,GPE,0.018460748126889477,106.47,Atlin,nightlights,2015
2,PPA,0.0,0.0,Atlin,nightlights,2015
1,PPA,100.0,21105.45,AtnaRiverPark,nightlights,2015
1,PPA,100.0,178.29,BabineLakeMarineParkHookDeepBaySite,nightlights,2015
1,PPA,100.0,40.05,BabineLakeMarineParkPendletonBaySite,nightlights,2015
1,PPA,100.0,34.56,BabineLakeMarineParkPierreCreekSite,nightlights,2015
1,PPA,100.0,66.33,BabineLakeMarineParkPinkutCreekSite,nightlights,2015
1,PPA,100.0,54.18,BabineLakeMarineParkSandpointSite,nightlights,2015
1,PPA,100.0,145.71,BabineLakeMarineParkSmithersLandingSite,nightlights,2015
1,PPA,100.0,31471.02,BabineMountainsPark,nightlights,2015
1,PPA,100.0,27.09,BabineMountainsTrailsParkActSection,nightlights,2015
1,PPA,100.0,15369.84,BabineRiverCorridorPark,nightlights,2015
1,PPA,100.0,22.68,BambertonPark,nightlights,2015
1,PPA,100.0,7.92,BananaIslandPark,nightlights,2015
1,PPA,100.0,14814.36,BanksNiiLuutiksmConservancy,nightlights,2015
1,PPA,100.0,158.76,BearCreekPark,nightlights,2015
1,PPA,100.0,535.68,BearGlacierPark,nightlights,2015
1,PPA,100.0,12706.74,BearholeLakePark,nightlights,2015
1,PPA,100.0,5053.41,BearholeLakeProtectedArea,nightlights,2015
1,PPA,100.0,316.53,BearIslandConservancy,nightlights,2015
1,PPA,100.0,329.4,BeattonPark,nightlights,2015
1,PPA,100.0,194.31,BeattonRiverPark,nightlights,2015
1,PPA,100.0,177.03,BeaumontPark,nightlights,2015
1,PPA,100.0,87.84,BeaverCreekPark,nightlights,2015
1,PPA,100.0,16.38,BeaverPointPark,nightlights,2015
1,PPA,100.0,767.7,BeaverValleyPark,nightlights,2015
1,PPA,100.0,120.96,BecherSPrairiePark,nightlights,2015
1,PPA,100.0,182.88,BedardAspenPark,nightlights,2015
1,PPA,100.0,140.31,BednestiLakeEcologicalReserve,nightlights,2015
1,PPA,100.0,171.72,BellaCoolaEstuaryConservancy,nightlights,2015
1,PPA,100.0,0.45,BellhousePark,nightlights,2015
1,PPA,100.0,367.83,BigBarLakePark,nightlights,2015
1,PPA,100.0,998.73,BigBasinPark,nightlights,2015
1,PPA,100.0,221.13,BigBunsbyMarinePark,nightlights,2015
1,PPA,100.0,257.76,BigCreekEcologicalReserve,nightlights,2015
1,PPA,100.0,67973.31,BigCreekPark,nightlights,2015
1,PPA,100.0,956.79,BigWhiteMountainEcologicalReserve,nightlights,2015
1,PPA,100.0,35.73,BijouxFallsPark,nightlights,2015
1,PPA,100.0,10449.18,BirkenheadLakePark,nightlights,2015
1,PPA,100.0,2684.7,BishopBayMonkeyBeachConservancy,nightlights,2015
