class_val,ppa_gpe,proportion_of_landscape,total_area,park,var,year
20,GPE,47.20670391061452,15.21,AdamsLakeMarineParkPoplarPointSite,HMM,2015
20,PPA,28.774928774928775,9.09,AdamsLakeMarineParkPoplarPointSite,HMM,2015
33,GPE,0.0,0.0,AdamsLakeMarineParkPoplarPointSite,HMM,2015
33,PPA,1.4245014245014245,0.45,AdamsLakeMarineParkPoplarPointSite,HMM,2015
50,GPE,0.8379888268156425,0.27,AdamsLakeMarineParkPoplarPointSite,HMM,2015
50,PPA,0.0,0.0,AdamsLakeMarineParkPoplarPointSite,HMM,2015
100,GPE,0.27932960893854747,0.09,AdamsLakeMarineParkPoplarPointSite,HMM,2015
100,PPA,0.0,0.0,AdamsLakeMarineParkPoplarPointSite,HMM,2015
210,GPE,38.547486033519554,12.42,AdamsLakeMarineParkPoplarPointSite,HMM,2015
210,PPA,60.68376068376068,19.17,AdamsLakeMarineParkPoplarPointSite,HMM,2015
230,GPE,13.128491620111731,4.23,AdamsLakeMarineParkPoplarPointSite,HMM,2015
230,PPA,9.116809116809117,2.88,AdamsLakeMarineParkPoplarPointSite,HMM,2015
20,GPE,49.601593625498005,22.41,AdamsLakeMarineParkRefugeBaySite,HMM,2015
20,PPA,27.272727272727273,11.88,AdamsLakeMarineParkRefugeBaySite,HMM,2015
33,GPE,0.0,0.0,AdamsLakeMarineParkRefugeBaySite,HMM,2015
33,PPA,0.8264462809917356,0.36,AdamsLakeMarineParkRefugeBaySite,HMM,2015
40,GPE,0.0,0.0,AdamsLakeMarineParkRefugeBaySite,HMM,2015
40,PPA,1.0330578512396693,0.45,AdamsLakeMarineParkRefugeBaySite,HMM,2015
50,GPE,5.776892430278885,2.61,AdamsLakeMarineParkRefugeBaySite,HMM,2015
50,PPA,4.338842975206612,1.89,AdamsLakeMarineParkRefugeBaySite,HMM,2015
81,GPE,0.0,0.0,AdamsLakeMarineParkRefugeBaySite,HMM,2015
81,PPA,0.4132231404958678,0.18,AdamsLakeMarineParkRefugeBaySite,HMM,2015
100,GPE,6.772908366533865,3.06,AdamsLakeMarineParkRefugeBaySite,HMM,2015
100,PPA,0.8264462809917356,0.36,AdamsLakeMarineParkRefugeBaySite,HMM,2015
210,GPE,15.139442231075698,6.84,AdamsLakeMarineParkRefugeBaySite,HMM,2015
210,PPA,8.677685950413224,3.78,AdamsLakeMarineParkRefugeBaySite,HMM,2015
220,GPE,1.1952191235059761,0.54,AdamsLakeMarineParkRefugeBaySite,HMM,2015
220,PPA,2.8925619834710745,1.26,AdamsLakeMarineParkRefugeBaySite,HMM,2015
230,GPE,21.51394422310757,9.72,AdamsLakeMarineParkRefugeBaySite,HMM,2015
230,PPA,53.71900826446281,23.4,AdamsLakeMarineParkRefugeBaySite,HMM,2015
20,GPE,42.44826067811537,86.76,AdamsLakeMarineParkSpillmanBeachSite,HMM,2015
20,PPA,24.067495559502664,48.78,AdamsLakeMarineParkSpillmanBeachSite,HMM,2015
40,GPE,0.044033465433729636,0.09,AdamsLakeMarineParkSpillmanBeachSite,HMM,2015
40,PPA,0.0,0.0,AdamsLakeMarineParkSpillmanBeachSite,HMM,2015
50,GPE,3.4346103038309117,7.02,AdamsLakeMarineParkSpillmanBeachSite,HMM,2015
50,PPA,0.8880994671403197,1.8,AdamsLakeMarineParkSpillmanBeachSite,HMM,2015
81,GPE,0.5284015852047557,1.08,AdamsLakeMarineParkSpillmanBeachSite,HMM,2015
81,PPA,0.0,0.0,AdamsLakeMarineParkSpillmanBeachSite,HMM,2015
100,GPE,0.22016732716864817,0.45,AdamsLakeMarineParkSpillmanBeachSite,HMM,2015
100,PPA,0.3996447602131439,0.81,AdamsLakeMarineParkSpillmanBeachSite,HMM,2015
210,GPE,37.47247908410392,76.59,AdamsLakeMarineParkSpillmanBeachSite,HMM,2015
210,PPA,50.8436944937833,103.05,AdamsLakeMarineParkSpillmanBeachSite,HMM,2015
